feature,midpoint,frame,coefficient
34,0.12,12,-1.5818341
35,0.12,12,0.13662007
36,0.12,12,0.8455941
37,0.12,12,0.54239386
38,0.12,12,-0.7255623
39,0.12,12,-0.021008046
0,0.13,13,-0.3269431
1,0.13,13,0.54950684
2,0.13,13,-1.7807356
3,0.13,13,-0.22818536
4,0.13,13,0.08628629
5,0.13,13,0.2613726
6,0.13,13,-0.60028493
7,0.13,13,2.648209
8,0.13,13,1.3103545
9,0.13,13,0.92965
10,0.13,13,1.5028018
11,0.13,13,0.96138775
12,0.13,13,-0.017850323
13,0.13,13,-0.77773887
14,0.13,13,-1.4902087
15,0.13,13,0.3296437
16,0.13,13,0.15695614
17,0.13,13,0.0072956746
18,0.13,13,-0.69186455
19,0.13,13,1.8010747
20,0.13,13,-0.12188353
21,0.13,13,-1.1940954
22,0.13,13,1.7229993
23,0.13,13,-0.94545156
24,0.13,13,0.6567322
25,0.13,13,-1.0108895
26,0.13,13,0.30752447
27,0.13,13,0.8868399
28,0.13,13,-0.728063
29,0.13,13,0.0928116
30,0.13,13,0.4453019
31,0.13,13,-1.7509753
32,0.13,13,1.0076725
33,0.13,13,0.9082477
34,0.13,13,-1.6047407
35,0.13,13,-0.0043145665
36,0.13,13,-0.15088977
37,0.13,13,0.9154437
38,0.13,13,1.6242293
39,0.13,13,0.06858439
0,0.14,14,0.12230009
1,0.14,14,0.12959926
2,0.14,14,-3.4572682
3,0.14,14,1.9042119
4,0.14,14,0.69773453
5,0.14,14,-0.014674666
6,0.14,14,-0.5090257
7,0.14,14,2.6907637
8,0.14,14,-0.0571355
9,0.14,14,1.1267428
10,0.14,14,1.9363766
11,0.14,14,-0.4780733
12,0.14,14,0.50024205
13,0.14,14,-0.46141678
14,0.14,14,-1.1448466
15,0.14,14,-0.3948852
16,0.14,14,0.06445851
17,0.14,14,-0.3352416
18,0.14,14,0.19382544
19,0.14,14,0.70388055
20,0.14,14,0.0077850423
21,0.14,14,-0.50118744
22,0.14,14,1.7531872
23,0.14,14,-0.6470836
24,0.14,14,0.6105734
25,0.14,14,-1.2908698
26,0.14,14,0.32837844
27,0.14,14,-0.24068935
28,0.14,14,0.46056074
29,0.14,14,-0.47513014
30,0.14,14,0.47454545
31,0.14,14,-1.2549704
32,0.14,14,-0.44346792
33,0.14,14,0.92951983
34,0.14,14,-1.5490488
35,0.14,14,-0.50195044
36,0.14,14,-1.0669698
37,0.14,14,1.3783401
38,0.14,14,2.5467408
39,0.14,14,1.3568704
0,0.15,15,0.32564273
1,0.15,15,0.036620874
2,0.15,15,-2.026229
3,0.15,15,2.3662689
4,0.15,15,1.258281
